"","X","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics","corpus$sent"
"250",250,"16","Iceland","Hera Björk","""Je ne sais quoi""","English","19","41",2010,"  I am standing strong, I've overcome the sadness in my life Now I look up and see the brightest sky above me And it's reflecting in your eyes Je ne sais quoi, I know you have a special something Je ne sais quoi, oh, something I just can't explain And when I see your face, I wanna follow my emotions Je ne sais pas pourquoi When the clouds are gone the stars come out around us, shining And all that we see is the love, our hearts aligned together Tell me, do you feel the same?  Je ne sais quoi, I know you have a special something Je ne sais quoi, oh. . .  something I just can't explain And when I see your face, I wanna follow my emotions Je ne sais pas pourquoi I just love this crazy feeling It's like I've known you all my life Je ne sais quoi Je ne sais quoi, I know you have a special something Je ne sais quoi, oh. . .  something I just can't explain And when I see your face, I wanna follow my emotions Je ne sais pas pourquoi ",0.0526315789473684
"251",251,"17","Ukraine","Alyosha","""Sweet People""","English","10","108",2010,"  Oh, sweet people What have we done?  Tell me what is happening?  For all that we've built Tumbles and is gone Oh, sweet people Have you no love for mankind?  Must you go on killing Just to pass the time?  The message is so true The end is really near All these feelings take me down It steals the things so dear Yes, the message is so real Don't turn all the earth to stone Because, because, because This is your home Oh, sweet people What about our children?  In theatres and video games They watch what we send to ruin Oh, sweet people What senseless game Have we all been playing?  No one but you to blame?  The message is so true The end is really near All these feelings take me down It steals the things so dear Yes, the message is so real Don't turn all the earth to stone Because, because, because This is your home This is our home ",0.0552486187845304
"253",253,"19","Romania","Paula Seling and Ovi","""Playing with Fire""","English","3","162",2010,"  Girl, girl, girl, can't you see what you do to me tonight?  Boy, boy, boy, if you're mean, I will start a fight tonight You and I could try to stop – uh boy, till you drop If we get together now, we'll burn this place down You and me, can't you see, we're playing with fire?  Tell me now, do you feel this burning desire?  Don't stop, make it rock, it's taking us higher Could it be just a dream?  Are you running away?  Uh ho. . .  uh ho. . .  uh ho. . .  Boy, boy, boy, what a fight, come and spend with me the night Girl, girl, girl, are you sure?  – Uhu – I ain't here to fight, alright?  You and I could try to stop – uh boy, till you drop If we get together now, we'll burn this place down You and me, can't you see, we're playing with fire Tell me now, do you feel this burning desire?  Don't stop, make it rock, it's taking us higher Could it be just a dream?  Are you running away?  Uh ho. . .  uh ho. . .  uh ho. . .  You and me, can't you see, we're playing with fire?  Tell me now, do you feel this burning desire?  Don't stop, make it rock, it's taking us higher Could it be just a dream?  Are you running away?  You and me, can't you see, we're playing with fire?  Tell me now, do you feel this burning desire?  Don't stop, make it rock, it's taking us higher Could it be just a dream?  Are you running away?  Uh ho. . .  uh ho. . .  uh If we get together now, we'll burn this place down ",-0.0306406685236769
"254",254,"20","Russia","Peter Nalitch and Friends","""Lost and Forgotten""","English","11","90",2010,"  Would you believe, Lord of Mercy?  Would you be so. . .  Lord, Lord?  I wanna love her now And I wanna feel that now with all. . .  All of those kisses and sweet embraces Here am I, lost and forgotten For this cruel, cruel time When I'm first time in love  ( Now that is why )  Now that is why I say Lord of Mercy And I hope now that you hear me Oh yeah. . .   ( What are you doing man?  )  I'm looking at her photos What should I do with them?   ( Drop them into the fire )  Oh, yes, yes, I gonna burn 'em now 'Cause I have to forget her now with all. . .  All of those kisses and sweet embraces Here am I, lost and forgotten For this cruel, cruel time When I'm first time in love  ( Now that is why )  Now that is why I say Lord of Mercy And I hope now that you hear me Oh. . .   ( Here am I, lost and forgotten )   ( For this cruel, cruel time )   ( First time in love )   ( Now that is why )  Now that is why I say Lord of Mercy And I hope now that you hear me Oh, bring her back to me ",-0.00404858299595142
"255",255,"21","Armenia","Eva Rivas","""Apricot Stone""","English","7","141",2010,"  Many, many years ago, when I was a little child Mama told me you should know our world is cruel and wild But to make your way through cold and heat Love is all that you need I believed her every word, more than anything I heard But I was too scared to lose my fun I began to cry a lot and she gave me apricots Kisses of the earth, fruits of the sun Apricot stone, hidden in my hand Given back to me from the motherland Apricot stone, I will drop it down in the frozen ground I'll just let it make its round Apricot stone, hidden in my hand Given back to me from the motherland Apricot stone Now I see the northern stars shining brightly in the storm And I've got an avatar of my love to keep me warm Now I'm not afraid of violent winds They may blow – they can't win May the winter stay away from my harvest night and day May God bless and keep my cherished fruit Grow my tree up to the sky, once I waved my home goodbye I just wanna go back to my roots Apricot stone, hidden in my hand Given back to me from the motherland Apricot stone, I will drop it down in the frozen ground I'll just let it make its round Apricot stone, hidden in my hand Given back to me from the motherland Apricot stone, hidden in my hand Given back to me from the motherland Apricot stone ",0.0260223048327138
"256",256,"22","Germany","Lena","""Satellite""","English","1","246",2010,"  I went everywhere for you I even did my hair for you I bought new underwear, they're blue And I wore 'em just the other day Love, you know I'll fight for you I left on the porch light for you Whether you are sweet or cool I'm gonna love you either way Love, oh love, I gotta tell you how I feel about you 'Cause I, oh I, can't go a minute without your love Like a satellite, I'm in orbit all the way around you And I would fall out into the night Can't go a minute without your love Love, I got it bad for you I saved the best I have for you You sometimes make me sad and blue Wouldn't have it any other way Love, my aim is straight and true Cupid's arrow is just for you I even painted my toenails for you I did it just the other day Love, oh love, I gotta tell you how I feel about you 'Cause I, oh I, can't go a minute without your love Like a satellite, I'm in orbit all the way around you And I would fall out into the night Can't go a minute without your. . .  Love, oh love, I gotta tell you how I feel about you 'Cause I, oh I, can't go a minute without your love Where you go, I follow You set the pace, we'll take it fast and slow I'll follow in your way You got me, you got me A force more powerful than gravity It's physics, there's no escape Love, my aim is straight and true Cupid's arrow is just for you I even painted my toenails for you I did it just the other day Love, oh love, I gotta tell you how I feel about you 'Cause I, oh I, can't go a minute without your love Like a satellite, I'm in orbit all the way around you And I would fall out into the night Can't go a minute without your. . .  Love, oh love, I gotta tell you how I feel about you 'Cause I, oh I, can't go a minute without your love Love, love, love, love, love ",0.223557692307692
"259",259,"25","Denmark","Chanée and N'evergreen","""In a Moment Like This""","English","4","149",2010,"  For as long as I remember For as long as I've been blue Every day since we've been parted All I thought about was you Didn't need the time for sorrow Didn't need the time for pain What am I supposed to do When living without you Was the worst I ever knew?  In a moment like this Wanna know, wanna know, wanna know what you're looking for Wanna know, wanna know, wanna know did you ask for more Oh. . .  in a moment like this Wanna know, wanna know, wanna know what I have to do Wanna know, wanna know, wanna know how to get to you Oh. . .  in a moment like this Ever since the day you left me Ooh… ever since you went away I'm lost and I don't know Where am I supposed to go?  I still miss you so In a moment like this Wanna know, wanna know, wanna know what you're looking for Wanna know, wanna know, wanna know did you ask for more Oh. . .  in a moment like this When I need for you to hold me Say you love and never leave me My heart will forever be true In a moment like this Wanna know, wanna know, wanna know what you're looking for Wanna know, wanna know, wanna know did you ask for more Oh. . .  in a moment like this Wanna know, wanna know, wanna know what I have to do Wanna know, wanna know, wanna know how to get to you Oh. . .  in a moment like this ",0.0272108843537415
"266",266,"7","Iceland","Yohanna[69]","""Is It True?""","English","2","218",2009,"  You say you really know me You're not afraid to show me What is in your eyes So tell me 'bout the rumours Are they only rumours?  Are they only lies?  Falling out of a perfect dream Coming out of the blue Is it true?   ( Is it true?  )  Is it over?  Did I throw it away?  Was it you?   ( Was it you?  )  Did you tell me You would never leave me this way?  If you really knew me You couldn't do this to me You would be my friend If one of us is lying There's no use in trying No need to pretend Falling out of a perfect dream Coming out of the blue Is it true?   ( Is it true?  )  Is it over?  Did I throw it away?  Was it you?   ( Was it you?  )  Did you tell me You would never leave me this way?  Is it true?   ( Is it true?  )  Is it over?  Did I throw it away?  Was it you?   ( Was it you?  )  Did you tell me You would never leave me this way?   ( Is it real?  )   ( Did I dream it?  )  Will I wake from this pain?  Is it true?   ( Is it true?  )  Is it over?  Baby, did I throw it away?  Ooh. . .  is it true?  ",0.064638783269962
"267",267,"8","Greece","Sakis Rouvas","""This Is Our Night""","English","7","120",2009,"  Take a chance, and take a hold Give it all and turn it to gold Time has come, so make a stand On your own and take command Beat the odds, you will survive Stronger now, you feel alive Rising up, get into place Feel it in your heart when you are winning this race When I look into your eyes It comes as no surprise This is our night, fly to the top, baby Yes, we can do it, just wait and see This is our night, time for a change, baby Get rid of the old, take a hold and be free This is our night, fly to the top, baby Yes, we can do it, just wait and see This is our night, time for a change, baby Get rid of the old, take a hold and be free This is our night Counting down, the night of nights Getting now to stand and fight Don't back down, just look within Do it now, I know you will When I look into your eyes It comes as no surprise This is our night, fly to the top, baby Yes, we can do it, just wait and see This is our night, time for a change, baby Get rid of the old, take a hold and be free This is our night This is our night, fly to the top, baby Yes, we can do it, just wait and see This is our night, time for a change, baby Get rid of the old, take a hold and be free This is our night, fly to the top, baby Yes, we can do it, just wait and see This is our night, time for a change, baby Get rid of the old, take a hold and be free This is our night ",0.0806916426512968
"270",270,"11","Azerbaijan","AySel and Arash[74]","""Always""","English","3","207",2009,"  Always on my mind, always in my heart I've been waiting for you night after night Like a shadow, staying close to the light Suddenly you stand beside me And I see a million burning stars You are always on my mind, always in my heart And I can hear you call my name on a mountain high Always on my mind, always in my dreams I wanna hold you close to me, always, all the time I believe I'm addicted to you In your eyes I see dreams comin' true Finally I have found you And now I will never let you go, no You are always on my mind, always in my heart And I can hear you call my name on a mountain high Always on my mind, always in my dreams I wanna hold you close to me, always, all the time Always on my mind, always in my heart And I can hear you call my name on a mountain high Always on my mind, always in my dreams I wanna hold you close to me, always, all the time Always on my mind, always in my heart Always on my mind, always in my dreams Always, all the time ",0.0401785714285714
"273",273,"14","Malta","Chiara","""What If We""","English","22","31",2009,"  Words of wisdom, prophets and quotes Wise men talking, tales from the old I reach for the stars, wherever they are, in darkness We're lost, fading away What if we could be free?  Mystify our wisdom in time And one day we'll see What if we found the key?  Throw the dice, unravel our lies And learn how to be All the madness feeding our soul Take a wild guess out of control There will be a star, no matter how far, shining One day we'll sail away What if we could be free?  Mystify our wisdom in time And one day we'll see What if we found the key?  Throw the dice, unravel our lies And learn how to be If you don't know your destination Who determines your destiny?  What if we could be free?  Mystify our wisdom in time And one day we'll see What if we found the key?  Throw the dice, unravel our lies And learn how to be ",-0.0110497237569061
"275",275,"16","Denmark","Niels Brinck","""Believe Again""","English","13","74",2009,"  You made it so easy to fall I could not stand at all I saw you beside me You never saw me there at all I promised you all this I made plans thinking this was it I never imagined I'd find you Lose myself instead I never had a picture of an end And I. . .  I wanna believe in love I wanna believe in something bigger Than the two of us, yeah. . .  I. . .  I wanna breathe again I wanna go back to the days The days I had my innocence I wanna believe again I picked up the pieces And put them back where they belong But something is missing Though I look the same, I'm not that strong But I'm gonna learn to trust again And I. . .  I wanna believe in love I wanna believe in something bigger Than the two of us  ( The two of us )  And I. . .  I wanna breathe again I wanna go back to the days The days I had my innocence I wanna believe again For without love, what do we become?  I never had a picture of an end And I. . .  I wanna believe in love I wanna believe in something bigger Than the two of us  ( The two of us )  I. . .  I wanna breathe again I wanna believe I wanna believe I wanna believe again ",0.0632411067193676
"276",276,"17","Germany","Alex Swings Oscar Sings![75]","""Miss Kiss Kiss Bang""","English","20","35",2009,"  Hey Miss Kiss, let us dance Mrs Kiss Kiss Bang, she's not a fool Extraordinary and oh so cool When I feel the touch of her sweet lips I know this is a devil's kiss She sets my soul on fire with no return Ooh baby, just burn, burn, burn And I think we're like Mr and Mrs Right So I'll give you my heart tonight Miss Kiss Kiss Bang, come let us sing Miss Kiss Kiss Bang, now let us swing Shake your sweet, sweet, sweet little thing Mrs Kiss Kiss Bang, come let us swing When I look into her eyes the flames grow higher I know this is a kiss of fire Imagination feeds my hungry heart Gimme your love before we part And I'm on the way of no return Ooh baby, just burn, burn, burn And I think we're like Mr and Mrs Right So I'll give you my heart tonight Miss Kiss Kiss Bang, come let us sing Miss Kiss Kiss Bang, now let us swing Shake your sweet, sweet, sweet little thing Mrs Kiss, come on and let us sing Do the hee dee hi ho  ( Sing hee dee hi ho )  Do the hee dee hi hey  ( Sing hee dee hi hey )  Do the dip dip diddee  ( Sing dip dip diddee )  Do the skiddly skiddly bo  ( Sing skiddly skiddly bo )  Now do the gucci bang bang  ( Sing gucci bang bang )  Do the skiddly buffely boodely bump  ( Sing skiddly buffely boodely bump )  Do the oh. . .   ( Sing oh. . .  )  Mrs Kiss, you are my everything tonight Now shake your sweet, sweet sexy thing Miss Kiss Kiss Bang, come and let us sing  ( Miss Kiss Kiss Bang, Miss Kiss Kiss Bang )  Miss Kiss Kiss Bang, now let us swing  ( Miss Kiss Kiss Bang, Miss Kiss Kiss Bang )  You are my queen and I'm your king  ( Miss Kiss Kiss Bang, Miss Kiss Kiss Bang )  Shake your sweet, sweet thing Do the ring-a-bing bing Mrs Kiss, come on and let us sing Do the hee dee hi ho  ( Sing hee dee hi ho )  Do the hee dee hi hey  ( Sing hee dee hi hey )  Mrs Kiss Kiss Bang Come let us swing Miss Kiss ",0.172985781990521
"277",277,"18","Turkey","Hadise","""Düm Tek Tek""","English","4","177",2009,"  Baby, you're perfect for me You are my gift from heaven This is the greatest story Of all times We met like in a movie So meant to last forever And what you're doing to me Feels so fine Angel, I wake up And live my dreams endlessly Crazy for you Can you feel the rhythm in my heart?  The beat's going düm tek tek Always louder like there's no limit Feels like there's no way back Can you feel the rhythm in my heart?  The beat's going düm tek tek Always louder like there's no limit Feels like there's no way back Baby, I read all answers In your exotic movements You are the greatest dancer Of all times You make me feel so special No one can kiss like you do As if it's your profession Feels so fine Angel, I wake up And live my dreams endlessly Crazy for you Can you feel the rhythm in my heart?  The beat's going düm tek tek Always louder like there's no limit Feels like there's no way back Can you feel the rhythm in my heart?  The beat's going düm tek tek Always louder like there's no limit Feels like there's no way back Can you feel the rhythm in my heart?  Can you feel the rhythm in my heart?  The beat's going düm tek tek Always louder like there's no limit Feels like there's no way back Can you feel the rhythm in my heart?  The beat's going düm tek tek Always louder like there's no limit Feels like there's no way back Always louder like there's no limit Feels like there's no way back Always louder like there's no limit Feels like düm tek tek ",0.177257525083612
"278",278,"19","Albania","Kejsi Tola","""Carry Me in Your Dreams""","English","17","48",2009,"  My love for you grows with each passing day I'm by your side when you're away And when I miss you and long for your care I close my eyes and you're there All that I ask is one moment in time No strings attached, no drawing lines You feel my thoughts even when you're not here I close my eyes Close my eyes and I feel you're there Take my love, take my heart Carry me with you in your dreams No, no, never let go Wonder of love, magical glow Take my love, take my heart Carry me with you in your dreams No, no, never let go Wonder of love, magical glow All that I ask is one moment in time No strings attached, no drawing lines You feel my thoughts even when you're not here I close my eyes Close my eyes and I feel you're there Take my love, take my heart Carry me with you in your dreams No, no, never let go Wonder of love, magical glow Search for me in your dreams Search for me, it's where I'll be Take my love, take my heart Carry me with you in your dreams No, no, never let go Wonder of love, magical glow Take my love, take my heart Carry me with you in your dreams No, no, never let go Wonder of love, magical glow ",0.15234375
"279",279,"20","Norway","Alexander Rybak","""Fairytale""","English","1","387",2009,"  Years ago, when I was younger I kinda liked a girl I knew She was mine and we were sweethearts That was then, but then it's true I'm in love with a fairytale Even though it hurts 'Cause I don't care if I lose my mind I'm already cursed Every day we started fighting Every night we fell in love No one else could make me sadder But no one else could lift me high above I don't know what I was doing When suddenly, we fell apart Nowadays, I cannot find her But when I do, we'll get a brand new start I'm in love with a fairytale Even though it hurts 'Cause I don't care if I lose my mind I'm already cursed She's a fairytale, yeah. . .  Even though it hurts 'Cause I don't care if I lose my mind I'm already cursed ",0.089171974522293
"280",280,"21","Ukraine","Svetlana Loboda","""Be My Valentine""","English","12","76",2009,"  You are sexy – bom You are so sexy – bom Gon' make me crazy – bom We're gonna do the bom bom Ain't that amazing – bom I'm very busy – bom It's not so easy – bom I'm gonna tease you – bom bom Without a reason – bom I'll call you on the phone You speak in monotone Don't wanna be alone Because I'm crazy – bom Baby, baby you're so fine Be my, be my valentine Baby, baby you're so fine Be my, be my valentine My pride and prejudice I will just reminisce These are the things you can't miss Come on, give me a kiss There's nothing dangerous I know what's waitin' on us We'll keep each other restless Oh boy, you look impressed The charm that I possess Will put you to the test To satisfy my interest Come over, be my guest I'll show you to my nest You're under arrest The others may be jealous 'Cause you're the one who's blessed Baby, baby you're so fine Be my, be my valentine Baby, baby you're so fine Be my, be my valentine Yeah, aha. . .  You are sexy – bom You are sexy – bom Really crazy – bom You and you and you Anti-crisis – bom Baby, I can save your world I'm your anti-crisis girl Baby, I can save your world I'm your anti-crisis girl Baby, I can save the world I'm your anti-crisis girl Baby, I can save the world I'm your anti-crisis girl Baby, I can save the world I'm your anti-crisis girl ",0.101045296167247
"281",281,"22","Romania","Elena","""The Balkan Girls""","English","19","40",2009,"  The Balkan girls, they like to party Like nobody, like nobody It's time for me to unwind I'm gonna start my weekend with gin, tonic and lime My girls take me for a ride Ready to party and looking so fine I wonder if beyond this There could be something better 'Cause I feel so good tonight Don't wanna end this night The Balkan girls, they like to party Like nobody, like nobody  ( For crowd delight, we'll shine all night )  The Balkan girls, they like to party Like nobody, like nobody  ( For crowd delight, we'll shine all night )  My hips are ready to glow This record is so hot and I have so much to show I'll find a boy for a kiss Who knows, maybe he'll be my prince I wonder if beyond this There could be something better 'Cause I feel so good tonight Don't wanna end this night The Balkan girls, they like to party Like nobody, like nobody  ( For crowd delight, we'll shine all night )  The Balkan girls, they like to party Like nobody, like nobody  ( For crowd delight, we'll shine all night )   ( You've gotta live your life. . .  )  If you didn't find out What love is about And if you're lonely, baby Just open your mind, you're one of a kind You've got to live your life. . .  The Balkan girls, they like to party Like nobody, like nobody  ( For crowd delight, we'll shine all night )  The Balkan girls, they like to party Like nobody, like nobody  ( For crowd delight, we'll shine all night )  The Balkan girls, they like to party Like nobody, like nobody  ( For crowd delight, we'll shine all night )  The Balkan girls, they like to party Like nobody, like nobody  ( For crowd delight, we'll shine all night )  ",0.272206303724928
"282",282,"23","United Kingdom","Jade Ewen","""It's My Time""","English","5","173",2009,"  I've been down, down so long But those days are gone now I've got the will, I've earned the right To show you it's my time tonight It's my time, it's my time My moment, I'm not gonna let go of it My time, it's my time And I'll stand proud There's nothing I'm afraid of I'll show you what I'm made of Show you all it's my time now I'll break through, I've made my move And my faith is strong now I've got the heart to reach the heights To show you it's my time tonight It's my time, it's my time My moment, I'm not gonna let go of it My time, it's my time And I'll stand proud There's nothing I'm afraid of I'll show you what I'm made of Show you all it's my time now I've got the will, I've earned the right Tonight, tonight It's my time, it's my time My moment, I'm not gonna let go of it My time, it's my time And I'll stand proud There's nothing I'm afraid of I'll show you what I'm made of Show you all it's my time now I'll show you all it's my time now ",0.0185185185185185
"283",283,"24","Finland","Waldo's People","""Lose Control""","English","25","22",2009,"  I don't wanna lose control, but I'm falling, falling down I got this panic emotion that I cannot describe to you My world is tumbling down, what am I, what am I gonna do?  Ca-can't deny it, deny it, what am I going through?  Ca-can not fight it, can't fight it, now I'm looking for the truth I don't wanna live a lie – checking on my sanity 'Cause baby, maybe I can do without – is it all a fantasy?  I don't wanna live a lie – is this my reality?  It's spinning round 'n' round day 'n' night I don't wanna lose control, but I'm falling I just can't believe it Never thought that I would be the one falling down I don't wanna lose control, but I'm falling I just can't believe it Never thought that I would be the one falling down I'm on a critical mission, got my destiny in my hands Like Peter Piper I take control, put a spell on the mass I cause hysteria, worry yourself, that's how I roll It's not a drill, I'm for real, I'm a man who's out of control I don't wanna live a lie – checking on my sanity 'Cause baby, maybe I can do without – is it all a fantasy?  I don't wanna live a lie – is this my reality?  It's spinning round 'n' round day 'n' night I don't wanna lose control, but I'm falling I just can't believe it Never thought that I would be the one falling down I don't wanna lose control, but I'm falling I just can't believe it Never thought that I would be the one falling down I'm falling, I'm falling And I just can't believe it I'm falling, I'm falling down I don't wanna lose control, but I'm falling I just can't believe it Never thought that I would be the one falling down I don't wanna lose control, but I'm falling I just can't believe it Never thought that I would be the one falling down ",-0.081151832460733
"286",286,"2","United Kingdom","Andy Abraham","""Even If""","English","25 [D]","14",2008,"  You're keeping me fascinated No, I ain't running all over town I feel so intoxicated I'm struggling to keep my feet on the ground I'm not playing, girl This ain't no game at all And for the first time I'm not looking for love So come here, baby, listen to me I just want ya to believe me Even if the world stops lovin' I could never stop lovin' you Even if the sun stops risin' I still wanna wake up with you Yeah. . .  Even if my heart was breakin' I could never break your heart too Even if all words lost their meaning You would understand I love you Yes, I do Your sensuality thrills me It strips me to my soul As your reality cures me Your lovin' takes a hold I'm barely in control I'm not pretending, girl That ain't what's goin' on There's no room for lies Ain't no room at all So come here, baby, listen to me I just want ya to believe me  ( Even if the world stops lovin' )  I could never stop lovin' you Even if the sun stops risin' I still wanna wake up with you Even if my heart was breakin' I could never break your heart too, no, no Even if all words lost their meaning You would understand I love you Yes, I do  ( Break it down, break it down )   ( Girl, you gotta know )  Yes, I do  ( We got to break it down, break it down )   ( It's time to feel the flow )  Hey yeah. . .   ( Break it down, break it down )   ( Girl, you gotta know )  Help me break it down  ( We got to break it down, break it down )   ( It's time to feel the flow )  Ooh yeah. . .   ( Even if the world stops lovin' )   ( I could never stop lovin' you )  I could never stop lovin' you  ( Even if the sun stops risin' )   ( I still wanna wake up with you )  I will always wake up, baby Even if my heart was breakin'  ( I could never break your heart too )  Aha, aha, aha baby, baby Even if all words lost their meaning You would understand I love you ",0.00697674418604651
"288",288,"4","Germany","No Angels","""Disappear""","English","23 [D]","14",2008,"  On and on I've tried to move it along  ( It won't stop )  Tried to find the strength to turn it around  ( It won't stop )  Everything's been off since you went away And time just broke the promise to ease the pain 'Cause I need you here And it's just not fair That it won't get better Why did you disappear?  And we got nowhere But it won't stop there Though you're gone forever I can't make you disappear Crashing, breaking memories in my mind  ( It won't stop )  Never ever close to getting it right  ( It won't stop )  Best time of my life, now it's washed away Still the stars, they know how to spell your name 'Cause I need you here And it's just not fair That it won't get better Why did you disappear?  And we got nowhere But it won't stop there Though you're gone forever I can't make you disappear 'Cause you got into my heart of stone And I don't do well here on my own Now the silence keeps me up at night And I can't get used to being all alone 'Cause I need you here And it's just not fair That it won't get better Why did you disappear?  And we got nowhere But it won't stop there Though you're gone forever I can't make you disappear ",0.00826446280991736
"294",294,"10","Poland","Isis Gee","""For Life""","English","24 [D]","14",2008,"  I had no choice, perfectly clear from the start I heard your voice and I was falling Into a space where daylight kisses moonlit skies It was the place as written in your eyes And oh. . .  we made it, we finally found our way And celebrating just where we, we stand today I'll let my heart show the way Oceans and mountains between us Because your love is why You made the wrong right I will give my all I will heed your call for life I had no choice, perfectly clear from the start I will rejoice, embrace your calling And into a space where daylight breathes within your heart You found my heart and I knew it was for life Oh. . .  I'll let my heart show the way Oceans and mountains between us Because your love is why You made the wrong right I will give my all for life Ooh yeah. . .  for life ",0.105882352941176
"295",295,"11","Iceland","Euroband","""This Is My Life""","English","14","64",2008,"  I spent my days in vain just waiting For happiness to come my way I took for granted all they gave me I opened my eyes, finally I realised This is my life I don't wanna change a thing This is my life All the pain, all the joy it brings All through the years Of blood, sweat and tears Hopes and my fears All that was meant to be This is my life What will be, will be There's no denying all the heartaches Mmm. . .  were just a blessing in disguise Oh, if I never made a single mistake Oh, I wouldn't be here, part of the plan I believe This is my life I don't wanna change a thing This is my life All the pain, all the joy it brings All through the years Of blood, sweat and tears Hopes and my fears All that was meant to be This is my life What will be, will be I've found the key to set myself free You'll be amazed 'Cause I have the power to change my ways This is my life This is my life I don't wanna change a thing This is my life All the pain, all the joy it brings All through the years Of blood, sweat and tears Hopes and my fears All that was meant to be This is my life What will be This is my life ",0.0316205533596838
"298",298,"14","Latvia","Pirates of the Sea","""Wolves of the Sea""","English","12","83",2008,"  With a hi hi ho and a hi hi hey We're hoisting the flag to be free We will steal the show, Jolly Rogers go We are wolves of the sea Don't try to run, it's all set and done There's a treasure in sight We are robbing you blind I hope you don't mind We are taking it all tonight Just walk away, we will conquer it all Pirates will stand and the loser will fall With a hi hi ho and a hi hi hey We're bound to be close to the sea Our captain will stand on the bridge and sing: Pirates are all we can be With a hi hi ho and a hi hi hey We're hoisting the flag to be free We will steal the show, Jolly Rogers go We are wolves of the sea Down to the core, we're coming for more With a sword close at hand We are scary and bold, a chest full of gold We get sealegs when sighting land The hook of our captain is looking at you There's no Peter Pan, so what can you do?  With a hi hi ho and a hi hi hey We're bound to be close to the sea Our captain will stand on the bridge and sing: Pirates are all we can be With a hi hi ho and a hi hi hey We're hoisting the flag to be free We will steal the show, Jolly Rogers go We are wolves of the sea If you cry out to storm We pirates will stand tall A skull and crossbone flag is closing in To see you fall  ( Hum, hi ho, hi hum, hi hey )   ( Hum, hi ho, hi hey )   ( Hum, hi ho, hi hum, hi hey )  With a hi hi ho and a hi hi hey We're hoisting the flag to be free We will steal the show, Jolly Rogers go We are wolves of the sea With a hi hi ho and a hi hi hey We're bound to be close to the sea Our captain will stand on the bridge and sing: Pirates are all we can be With a hi hi ho and a hi hi hey We're hoisting the flag to be free We will steal the show, Jolly Rogers go We are wolves of the sea We are wolves of the sea ",0.00943396226415094
"299",299,"15","Sweden","Charlotte Perrelli","""Hero""","English","18","47",2008,"  Everything has a beginning Everything comes to an end Take it or leave it, you'd better believe it Be my love or be my friend Try to deny what you're feeling And you'll know that your heart will say no Love will last longer, growing stronger and stronger If you stay and don't let go Oh. . .  out of the light, like a star, like a hero Love will survive Oh. . .  taking the fight is the life of a hero Staying alive This is a story of love and compassion Only heroes can tell Oh. . .  out of the light, like a star, like a hero Love will survive Heaven and earth keep colliding But with love on a world of its own Oh. . .  there you can't fake it, just make it or break it Only you can find the one Oh. . .  out of the light, like a star, like a hero Love will survive Oh. . .  taking the fight is the life of a hero Staying alive This is a story of love and compassion Only heroes can tell Oh. . .  out of the light, like a star, like a hero Love will survive  ( Will survive )  Oh. . .  survive  ( Will survive )  Heroes can live on their own But heroes never die alone Oh. . .  out of the light, like a star, like a hero Love will survive Oh. . .  taking the fight is the life of a hero Staying alive  ( This is a story of love and compassion )  Heroes can tell Oh, out of the light, like a star, like a hero Love will survive ",0.276527331189711
"300",300,"16","Denmark","Simon Mathew","""All Night Long""","English","15","60",2008,"  The sun is up I'm feeling great I'm just enjoying life Right here in the shade Let's take a ride, right away I'll be by your side So easy the easy life Celebrate the good times All night long All night long Celebrate good times – come on All night long Who's to tell What's to come All I know is tomorrow Today will be gone Get out, out of bed Put on your blue suede shoes – aha Get up, up and dance Celebrate the good times All night long All night long Celebrate good times – come on All night long If your life is like a sad song maybe You should try and celebrate it Celebrate it All night long All night long Celebrate good times – come on All night long ",0.318840579710145
"301",301,"17","Georgia","Diana Gurtskaya","""Peace Will Come""","English","11","83",2008,"  Look, the sky is crying cold bitter tears Weeping for the people lost in fear While we fight for nothing, my eyes run dry Are you still so blind to ask me why?  Why?  Say it out loud: peace will come Everybody, shout: peace will come When you stop and tame your rage Something's gotta change Something's gotta change Say it out loud: peace will come Everybody, shout: peace will come Blow the trumpet, beat the drum Peace will come Sometimes words kill faster than bullets do But the face of war is never true Kids with guns are always too young to die Are you still so deaf to ask me why?  Why?  Say it out loud: peace will come Everybody, shout: peace will come When you stop and tame your rage Something's gotta change Something's gotta change Say it out loud: peace will come Everybody, shout: peace will come Blow the trumpet, beat the drum Peace will come My land is still crying, torn in half My world is slowly dying My heart is only crying Peace and love Oh no, no, no Say it out loud: peace will come Everybody, shout: peace will come When you stop and tame your rage Something's gotta change Something's gotta change Say it out loud: peace will come Everybody, shout: peace will come Blow the trumpet, beat the drum Peace will come Blow the trumpet, beat the drum Peace will come ",0.003690036900369
