"","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics"
"449","18","Germany","Corinna May","""I Can't Live Without Music""","English","21","17",2002,"  You're my song in the morning, you're the rhythm of my heartbeat at night And the sound of love I hear in your voice keeps on touching me deep inside You are the air that I breathe and the gentle tune of whisperin' trees You're the only melody that's in my soul and in my mind all the time I can't live without music, only you keep me goin' along I can't live without music and the power that's deep in your song You're the one and only thing I couldn't do without Makes me wanna sing and dance and shout We can't live without music, we can't live without music It's a rainbow in the night, turns darkness into light It's everything we really need We can't live without music, and if ever we lose it That's when everybody, just everybody, starts getting the blues  ( We can't live without music )  'cause it's freedom to me and to you So let the music touch your heart in times when men are worlds apart 'Cause only love can heal the dream that's hidden in our souls And hand in hand we'll walk along, we'll be united by a peaceful song And we'll live all together  ( We can't live without music, we can't live without music )  I can't live without music, I can't live without music And if anybody, just anybody, is asking me why Music makes me feel like flyin', gives me hope when I'm a-cryin' I believe without it I would die "
"450","19","Turkey","Buket Bengisu & Group Safir","""Leylaklar Soldu Kalbinde""","Turkish, English","16","29",2002,"  Kal, henüz gitme yanımda kal bu gece Dargınsın, biliyorum, sitemler kalsın mazide Gözlerim arar seni hep özlemle Mutsuzum, suskunum, durgunum Yorgunum sensiz ben Kal, henüz gitme yalnızlık var içimde Kırgınsın, biliyorum leylaklar soldu kalbinde Yürürüm sensiz bomboş o sahilde Mutsuzum, suskunum, durgunum Yorgunum sensiz ben Avuçlarında mutluluk  ( Na na na na na na na. . .  )  Neden bu yolculuk?  Dur gitme, bitsin özlemler Yaşansın sevdalar, sevdalar Stay, oh. . .  stay, my love, I only ask one more night Please don't go, I know you're hurt, lilacs have faded in your heart Remember those days of love, but now no more When you're gone, I'm so blue It's so sad and lonely without you Don't ever let love pass you by  ( Na na na na na na na. . .  )  Not hard if you will try Take it now, hold it while you can You'll be lost when love comes to an end Avuçlarında mutluluk  ( Na na na na na na na. . .  )  Neden bu yolculuk?  Dur gitme, bitsin özlemler Yaşansın sevdalar, sevdalar "
"451","20","Malta","Ira Losco","""7th Wonder""","English","2","164",2002,"  Seven degrees I'm down on my knees Waiting for the man to put me under his spell Seven o' five He walks into sight Givin' me the eye, he lifts my spirits high His passion burns and my luck takes a turn I'm reborn and alive with his love to survive Is it good?  Is it bad?  Am I simply going mad?  Is it fiction or fact?  Am I really losing tact?  Is he magical, logical, natural?  I wonder He's got the makings of my seventh wonder Ooh hoo. . .  hoo. . .  hoo. . .  Seventy three kisses for me That whisper through the silence his feelings for me Softly he dips my cherry-red lips In the essence of a hope on which my love can float His passion burns and my luck takes a turn I'm reborn and alive with his love to survive Is it good?  Is it bad?  Am I simply going mad?  Is it fiction or fact?  Am I really losing tact?  Is he magical, logical, natural?  I wonder He's got the makings of my seventh wonder On seven seas we sail on this dream Turning it into virtual reality Reality Is it good?  Is it bad?  Am I simply going mad?  Is it fiction or fact?  Am I really losing tact?   ( Is he magical?  )  Magical  ( Logical, natural?  I wonder )  He's got the makings of my seventh wonder Am I weak?  Am I strong?  In his arms do I belong?  I could climb mountain high For his love I'd learn to fly Is he magical, logical, natural?  I wonder He's got the makings of my seventh wonder  ( Is he fiction or a matter of fact?  )  Seventh wonder  ( Is he fiction or a matter of fact?  )  Seventh wonder "
"452","21","Romania","Monica Anghel & Marcel Pavel","""Tell Me Why""","English","9","71",2002,"  We are behaving like two strangers in the gloomy night We have lost so many feelings in this endless fight If you want to go away, now I must obey But for my part, you'll remain always in my heart Tell me why we have to say goodbye Was our love only a foolish lie?  Tell me why your eyes are cold and dry No more tears, no more fears Nothing more to share together If you want to go away, now I must obey But for my part, you'll remain always in my heart Tell me why we have to say goodbye Why we broke our wings in flight Tell me why couldn't we just try To forgive and believe we can reach the sky Tell me why we have to say goodbye Was our love only a foolish lie?  Tell me why your eyes are cold and dry No more tears, no more fears Nothing more to share together Tell me why "
"453","22","Slovenia","Sestre","""Samo ljubezen""","Slovene","13","33",2002,"  Srce veliko kakor svet Nasmeh in iskrica v očeh In beseda poznaš jo tudi ti V življenju mnogo je poti Ne išči sreče kjer je ni Le poslušaj kar srce ti govori Lahko ti podarim samo ljubezen Eno in edino upanje Poglej me v oči in lahko si brez skrbi Vem, da isto čutiš tudi ti Kar želiš si to ni greh To je ljubezen v očeh Poznaš me bolj kot se ti zdi Čeprav zatiskaš si oči Ko me gledaš, vidiš to kar si Dolgo časa si iskal Kar si mislil, da je prav A, a, a na koncu le eno boš izbral Lahko ti podarim samo ljubezen Eno in edino upanje Poglej me v oči in lahko si brez skrbi Vem, da isto čutiš tudi ti Whoa. . .  lahko ti podarim samo ljubezen Eno in edino upanje Poglej me v oči in lahko si brez skrbi  ( Poglej me v oči in lahko brez skrbi )  Saj jo v srcu čutiš tudi ti Oh. . .  saj jo v srcu čutiš tudi ti "
"454","23","Latvia","Marie N","""I Wanna""","English","1","176",2002,"  I'd like to go away, but it's easier to say That you know all the tricks that make. . .  that make me stay I'm ready to support this artful game you always play 'Cause you don't know the fee that you will later, later pay Today you think you are the winner, today you think you are the king You make me sweat in my emotions under your fly-away, fly-away wing I wanna be the sunshine in your arms, I wanna be the light from shooting stars I wanna be the queen in your sweet lies, I wanna be the love-spark in your eyes I wanna be the sunshine in your arms, I wanna be the light from shooting stars I wanna be the queen in your sweet lies, I wanna be the love-spark in your eyes Ay ay ay ay ay ay. . .  I like a simple game, but it's just easier to say That you own all that rules your crazy, crazy way And even though you'll go on doing whatever. . .  whatever you may Just remember - it's me who find you when. . .  when you was stray Today you think you are the winner, today you think you are the king You make me sweat in my emotions under your fly-away, fly-away wing I wanna be the sunshine in your arms, I wanna be the light from shooting stars I wanna be the queen in your sweet lies, I wanna be the love-spark in your eyes I wanna be the sunshine in your arms, I wanna be the light from shooting stars I wanna be the queen in your sweet lies, I wanna be the love-spark in your eyes I wanna be the sunshine in your arms, I wanna be the light from shooting stars I wanna be the queen in your sweet lies, I wanna be the love-spark in your eyes I wanna be the sunshine in your arms, I wanna be the light from shooting stars I wanna be the queen in your sweet lies, I wanna be the love-spark in your eyes Ay ay ay ay ay ay. . .  "
"455","24","Lithuania","Aivaras","""Happy You""","English","23","12",2002,"  Wanna show to you alone The world around us, high and low Glowing stars and dancing moon Happy I 'cause happy you Close your eyes and make a wish Could it be a scorching kiss?  You're my sweetest mountain dew,  ( baby )  Happy I 'cause happy you For our dreams come true, they always do Watching the sunrise, beautiful red skies Hoping this day will never end Singing a love song with a perfect rhyme A song of love composed for you Love brings passion, love brings joy Love brings riches we enjoy All is wonder, all is new,  ( baby )  Happy I 'cause happy you For our dreams come true, they always do Watching the sunrise, beautiful red skies Hoping this day will never end Singing a love song with a perfect rhyme A song of love composed for you  ( Watching the sunrise )  Babe, it looks great  ( Singing a love song )  Babe, it sounds great Watching the sunrise, beautiful red skies Hoping this day will never end Singing a love song with a perfect rhyme A song of love composed for you Watching the sunrise, beautiful red skies Hoping this day will never end Singing a love song with a perfect rhyme A song of love composed for you Watching the sunrise "
"456","1","Netherlands","Michelle","""Out on My Own""","English","18","16",2001,"  Closing the door, leaving behind all that has been No turn around, life begins out on my own Follow the sun from day to day, free as a bird Now is the time to spread my wings out on my own Come to the conclusion I am in control Take it with my body and my soul I can fly over mountains, over seas I never felt so free in the choices of my life I can fly over mountains, over seas I never felt so free in the choices of my life Closing the door, leaving behind all that has been Now is the time to spread my wings out on my own Come to the conclusion I am in control Take it with my body and my soul I can fly over mountains, over seas I never felt so free in the choices of my life I can fly over mountains, over seas I never felt so free in the choices of my life Free in the choices of my life Free in the choices of my life "
"457","2","Iceland","Two Tricky","""Angel""","English","22","3",2001,"   ( Ooh ooh. . .  nananana. . .  )  Came flyin' into my life like a shooting star, so open hearted Then I was just a joker, but you – the Queen of Hearts, and so we parted But now I feel you closin' in You pick me up and take me there, oh. . .  Angel – show me a sign Come shoot me with your arrow right through this heart of mine Angel – show me the way I'll walk the straight and narrow, so hit me when I say: Oh Angel – fly me away, yeah  ( Ooh ooh. . .  nananana. . .  )  If love can be forever, minute or a day, it's no illusion I know I'm gonna find you somwhere in the clouds of my confusion But now I see you closin' in You pick me up and take me there, oh. . .  Angel – show me a sign Come shoot me with your arrow right through this heart of mine Angel – show me the way I'll walk the straight and narrow, so hit me when I say: Oh Angel – fly me away, yeah  ( Ooh ooh. . .  nananana. . .  )  But now I see you closin' in You pick me up and take me there, oh. . .  Angel – show me a sign Come shoot me with your arrow right through this heart of mine Angel – show me the way I'll walk the straight and narrow, so hit me when I say: Angel  ( Oh. . .  show my the way )  Oh Angel – show me the way I'll walk the straight and narrow, so hit me when I say: Oh Angel – fly me away, oh. . .  "
"458","3","Bosnia and Herzegovina","Nino Pršeš","""Hano""","Bosnian, English","14","29",2001,"  Come on I da sunce zađe tačno u pola tri I da me iz vedra neba grom pogodi Ti ne bi brinula, ne bi okom trepnula A kamoli kad te zovem, glavu okrenula I da snijeg sad padne po beharu i voću I da ti u lice kažem ono šta hoću Ti ne bi brinula, ne bi okom trepnula A kamoli za moj hatar, barem nasmiješila Hano, hajde, de, zar ti oči ne vide?  Zar ti duša ne sluša kad kažem da volim te?  Hano, hajde, de, zar ti oči ne vide?  Zar ti duša ne sluša kad kažem da volim te?  Aha. . .  aha. . .  aha. . .  aha. . .  A thousand times I've tried to walk away I'm losin' my mind about you – what can I say?  You keep telling me to let you go, that makes me wanna cry 'Cause God knows I love you so – so much, I'm gonna die Hano, come, come on, tell me what is going on Tell me, would it be all right for me to be your light?  Hano, come, come on, tell me what is going on Tell me, would it be all right for me to be your. . . ?  Hano, hajde, de, zar ti oči ne vide?  Zar ti duša ne sluša kad kažem da. . . ?  Hano, hajde, de, zar ti oči ne vide?  Zar ti duša ne sluša kad kažem da volim te?  "
"459","4","Norway","Haldor Lægreid","""On My Own""","English","22","3",2001,"  In tender years, the path seemed longer then it ever really was How could I know?  I realised, as time went by, I had to try, the world outside was mine You let me go So I left and tried to find my way to paradise The winding road that lead me there was life I'm on my own again Left all alone, where I belong I'm on my own again Left all alone And now I've seen it all, I wouldn't change a day – when curtains fall I do my show So at last I know I've found my one true paradise The winding road that lead me there was life I'm on my own again Left all alone, where I belong I'm on my own again I'm on my own, on my own  ( I'm on my own again )   ( Left all alone, where I belong )   ( I'm on my own again )  On my own  ( Left all alone )  On my own, on my own again "
"460","5","Israel","Tal Sondak","""En Davar"" (אין דבר)","Hebrew","16","25",2001,"  Im nidme shekol haderech lashav Im nidme shelibi karu'a achshav Yesh min zemer she'ole bi veshar En davar, en davar, en davar Im ko'ev lach, shtei enaich dom'ot Im ko'ev lach ve'en siman laba'ot Azamer lach, eltof roshech ad tsavar En davar, en davar, en davar Ki hazemer haze menachem levavot Lo mevater, hu motse netivot Shav vehofech ra'ot letovot Vechozer hanigun hamukar En davar, en davar, en davar Mul gal osher, yam ha'etsev hu rav Or vachoshech nilchamim aleinu achshav Rak hazemer od ole, ahuv umukar En davar, en davar, en davar Ki hazemer haze menachem levavot Lo mevater, hu motse netivot Shav vehofech ra'ot letovot Vechozer hanigun hamukar En davar, en davar, en davar Lalalala. . .  lalalala lala. . .  Lalalala. . .  lalala. . .  Ki hazemer haze menachem levavot Lo mevater, hu motse netivot Shav vehofech ra'ot letovot Vechozer hanigun hamukar En davar, en davar, en davar Vechozer hanigun hamukar En davar, en davar, en davar  ( Lalalala. . .  lalalala lala. . .  )  Od tir'i, ahuva En davar "
"461","6","Russia","Mumiy Troll","""Lady Alpine Blue""","English","12","37",2001,"  To love newcomers' fashion Oh so special You may want to believe me But hey – your Alpine eyes of blue Here's my Siberian hymn for you We better stay or rather die La lalalai lai lala lai lai. . .  Rather die La lalalai la lalalai. . .  No promises, no kiss goodbye to you Just keep on smilin', my Lady Alpine Blue Blue The slipping serpentine night Would cuddle, keep us tender And smother warning signs My old mistakes should send her Eternity for us to try The dawn will tell us if we fly La lalalai lai lala lai lai. . .  If we fly La lalalai la lalalai. . .  No promises, no kiss goodbye to you Just keep on smilin', my Lady Alpine Blue No promises, no promises No promises, no promises No promises, no kiss goodbye to you Just keep on smilin', my Lady Alpine Blue "
"462","7","Sweden","Friends","""Listen to Your Heartbeat""","English","5","100",2001,"  I wanna know what you feel inside Is something wrong?  Why did you leave last night?  Is it all just a game?  – Oh. . .  tell me why we can't be lovers I do believe in the two of us That you and me – we are the only ones And we were meant to be true, so tell me why we can't be lovers How could I be such a fool I thought I already knew it all, but I know I was totally wrong Listen to your heartbeat – it will take you higher Follow your emotions – I know you'll get stronger Listen to your heartbeat – the feeling will guide you Hold on to devotion – I know it's inside you How will I know if you're fooling me?  Maybe I'm wrong, but it seems to be Like it's all just a game, and I just want us to be lovers We had it all in our hands Just like those all happy ends I still don't know why, but we lost it somehow Listen to your heartbeat – it will take you higher Follow your emotions – I know you'll get stronger Listen to your heartbeat – the feeling will guide you Hold on to devotion – I know it's inside you One more chance to make a try Nothing left to do for you and I Listen to your heartbeat – it will take you higher Follow your emotions – I know you'll get stronger Listen to your heartbeat – the feeling will guide you Hold on to devotion – I know it's inside you Listen to your heartbeat "
"463","8","Lithuania","SKAMP","""You Got Style""","English, Lithuanian","13","35",2001,"  Hey you, sittin' over there lookin' so fine And I can't deny, given a while, we could spend some time And see if there's more to you than meets the eye 'Cause you sure look fine and you sure got style, yeah yeah You look so divine that you blow my mind Think I'll make you mine, yeah You look so divine that you blow my mind Think I'll make you mine, think I'll make you mine  ( You got style, you got style, )  yeah  ( You got style, )  baby You got style, you got style You got style,  ( baby )  I think I'll make you mine Hey you, with the smile so sweet Make all the girlies weak with that sleek physique But once we meet I'll probably see you're no good to be true Just another cute fool, but one thing I know is true You look so divine that you blow my mind Think I'll make you mine, yeah You look so divine that you blow my mind Think I'll make you mine, think I'll make you mine  ( You got style, you got style, )  yeah  ( You got style, )  baby You got style, you got style You got style,  ( baby )  I think I'll make you mine Aš einu gatve ir matau tave, fainas dizainas, ar ne?  Slenka žemyn mano žvilgsnis Aš skaičiuoju keikvieną tavo žingsnį, žingsnį Atsuki man savo akis Apakini mane, plaka mano širdis Tu sukaustai mano mintis, jaučiu Kad artėja karščiausia mano naktis Like this, like that, yeah  ( Like that )  I'm glad I met ya  ( All right )  Was geht ab?  Alles klar?  - Wunderbar  ( Come on, merci )  Comment ça va?  - Comme ci, comme ça Don't you know you look so fine?  Don't you know you blow my mind?  Don't you know that you got style?  I think I'll make you mine  ( You got style, you got style, )  yeah  ( You got style, )  baby You got style, you got style You got style,  ( baby )  You got style, baby You got style, you got style You got style,  ( baby )  Oh. . .  don't you know?  You got style, said, you got style, said  ( You got style, you got style )  You got style  ( You got style, baby )   ( You got style, you got style, )  Yeah, oh. . .   ( You got style, )  baby, hey "
"464","9","Latvia","Arnis Mednis","""Too Much""","English","18","16",2001,"  The day before marriage, I was out so long in the night My lovely fiancée no more is feelin' my sight Why do I feel this way?  - Dunno, last night was great But something's screwin' me up, I swear to God I will stop Too much, too much, too much, I say My life - it looks like a cabaret Too much, too much, too much, enough I swear I'll never use that stuff Oo. . .  baby, take me back  ( Okay )  Oh. . . .  give me one more smile  ( All right )  You're mine and only one  ( We'll see )  Why, darling, you don't come?  The day after marriage, I went in the streets with my bride She wanted coffee - oh no, I'm voting for beer You see how good is she - my caring, lovely fiancée We walked into the bar through light Oh God - there's girls from last night Too much, too much, too much, I say My life - it looks like a cabaret Too much, too much, too much, enough I swear I'll never use that stuff Oo. . .  baby, take me back  ( Okay )  Oh. . . .  give me one more smile  ( All right )  You're mine and only one  ( We'll see )  Why, darling, you don't come?   ( Too much )  Oo. . .  baby, take me back  ( Okay )  Oh. . . .  give me one more smile  ( All right )  You're mine and only one  ( We'll see )  Why, darling, you don't come?   ( Too much )  "
"465","10","Croatia","Vanna","""Strings of My Heart""","English","10","42",2001,"  Aha. . .  aha. . .  Stay now and softly play the strings of my heart Don't break my heart tonight, don't leave me when I cry Stay now and softly play the strings of my heart I want you by my side, you make me feel all right And let the fiddler play on the strings of my heart And let the fiddler play on the strings of my heart Don't break my heart tonight, don't leave me when I cry Stay now and softly play the strings of my heart I want you by my side, you make me feel all right And let the fiddler play on the strings of my heart Don't break my heart, oh no  ( Don't break my heart, don't break my heart, don't break my heart )  I want you by my side, you make me feel all right  ( Right by my side, right by my side, I feel all right )  And let the fiddler play on the strings of my heart  ( Strings of my heart )  And let the fiddler play on the strings of my heart "
"466","11","Portugal","MTM","""Só sei ser feliz assim""","Portuguese","17","18",2001,"  Yeah. . .  whoa yeah. . .  Ainda me lembro mas eu já não sei Se o meu segredo a ti o contei Ando à deriva, procuro o teu mar É a tua ilha que eu quero encontrar E é no teu beijo que eu encontro o feitiço No teu abraço o calor de que eu preciso No teu olhar um desejo atrevido Com o teu amor tudo faz sentido Ai, eu só sei ser feliz assim Como o teu beijo abraçado a mim Ai, eu só sei ser feliz assim Louco, perdido por ti até ao fim Pr'além da razão, nasce a magia Cristais de ilusão, és a minha fantasia E é no teu beijo que eu encontro o feitiço No teu abraço o calor de que eu preciso No teu olhar um desejo atrevido Com o teu amor tudo faz sentido Ai, eu só sei ser feliz assim Como o teu beijo abraçado a mim Ai, eu só sei ser feliz assim Louco, perdido por ti até ao fim Ai, eu só sei ser feliz assim Como o teu beijo abraçado a mim Ai, eu só sei ser feliz assim Louco, perdido por ti até ao fim Ai, eu só sei ser feliz assim  ( Ai, eu só sei )  Como o teu beijo abraçado a mim  ( Como o teu beijo )  Ai, eu só sei ser feliz assim  ( Ai, eu só sei )  Louco, perdido por ti até ao fim "
"467","12","Ireland","Gary O'Shaughnessy","""Without Your Love""","English","21","6",2001,"  I don't want to live my life without you I don't ever want to say goodbye 'Cause you're the only one that I am here for Never want to see you cry But I can't go on  ( Can't go on )  Oh no No, I can't go on  ( I can't go on )  Oh no Without your love, without your heart I'd be lost here, in the dark I just don't know Where would I be without your love?  You're the light in the dark I want to wake up with you beside me I will never let this feeling die I just want to be here in the morning To see the sunlight in your eyes But I can't go on  ( Can't go on )  Oh no No, I can't go on  ( I can't go on )  Oh no Without your love, without your heart I'd be lost here, in the dark I just don't know Where would I be without your love?  Without your love, without your heart I'd be lost here, in the dark I just don't know Where would I be without your love?  You're the light in the dark "
"468","13","Spain","David Civera","""Dile que la quiero""","Spanish","6","76",2001,"  Si la ves, pregúntale qué siente Si aún le queda algo de ese amor que nos unió Si la encuentras algo indiferente Éntrala en razón, y hazme este favor Háblale, insístele que nos han hecho daño Que todo es mentira Dile que la quiero, que siempre fui sincero Dile que me estoy volviendo loco con una tontería Dile que navego entre el amor y el miedo Dile que me está matando esta melancolía  ( Dile )  que la quiero  ( Dile )  que soy sincero  ( Dile )  Dile que me está matando esta melancolía Si la ves recuérdale que tiene De par en par las puertas de mi corazón Dile que mis lágrimas no entienden Porque no está conmigo en esta habitación Háblale, insístele que nos han hecho daño Que todo es mentira Dile que la quiero, que siempre fui sincero Dile que me estoy volviendo loco con una tontería Dile que navego entre el amor y el miedo Dile que me está matando esta melancolía  ( Dile, dile, dile )  Dile que me estoy volviendo loco  ( Dile, dile, dile )  Dile que la quiero, que siempre fui sincero Dile que me estoy volviendo loco con una tontería Dile que navego entre el amor y el miedo Dile que me está matando esta melancolía Dile que la quiero, que siempre fui sincero Dile que me estoy volviendo loco con una tontería Dile que navego entre el amor y el miedo Dile que me está matando esta melancolía Dile "
"469","14","France","Natasha St-Pier","""Je n'ai que mon âme""","French, English","4","142",2001,"  Puisqu'il faut dire, puisqu'il faut parler de soi Puisque ton cœur ne brûle plus comme autrefois Même si l'amour, je crois, ne se dit pas Mais puisqu'il faut parler, alors écoute-moi Mais je n'ai que mon âme pour te parler de moi Oh, juste mon âme, mon âme et ma voix Si fragiles flammes au bout de mes doigts Dérisoires armes pour parler de moi Même si tu dis que je fais partie de toi Que notre histoire nous suivra pas à pas Je sais tellement que l'amour a ses lois S'il faut le sauver, alors écoute-moi Mais je n'ai que mon âme pour te parler de moi Oh, juste mon âme, mon âme et ma voix Et mon corps qui s'enflamme au son de ta voix Je ne suis qu'une femme qui t'aime tout bas I'd rather be damned if I lose my faith If I am condemned, I will answer my fate I'll kneel down unarmed, life will take control 'Cause I am what I am and all I have is my soul I am what I am, all I have is my soul "
"470","15","Turkey","Sedat Yüce","""Sevgiliye Son""","Turkish, English","11","41",2001,"  Her şarkımda, her hecemde, sensiz geçen her gecemde Sen varsın, hep sen yine, kalbim titrer sen yoksun diye Bitmeyen uzun yollarda, yağmurda göz yaşlarımda Sen vardın, ah. . .  sen yine, içim sızlar sen yoksun diye Son defa dön bir bak ardına Ne kaldı geriye hüznünden başka?  Ne olursun dön bir kez bak ardına Kollarım açık beklerken, sevgim yollarda İsyanlarda, whoa. . .  Bu gönül her an seni acıyla yaşayan Deliler gibi seni yürekte taşıyan So far away, so far apart, lonely am I, my love, tonight Longing for all I left behind, precious moments I no longer find Love has gone, memories - they fade away Nothing more left for me but only to say I still love you, please come back, my lonely heart Keeps calling you back, once again I feel that old pain, lonely am I now, tonight Oh. . .  "
"471","16","United Kingdom","Lindsay Dracass","""No Dream Impossible""","English","15","28",2001,"  No dream impossible No dream impossible No dream, no dream  ( Be strong, on and on )   ( Keep pushing, on and on )   ( Be strong, on and on )   ( Keep pushing, holding on )  We look for the highest We follow the straightest road We danced with the angels Where heaven touches the end of the world We look to the future We reach for eternity There in the distance Everything was so clear to me If we keep holding on Have faith in ourselves Be strong, be free No dream impossible No dream impossible As long as you're living with hope in your heart In dreams we're untouchable Forever invincible If you believe with love in your heart There's no dream impossible  ( Hey you, have you got a dream?  )   ( When you wake in the day )   ( Is it as bad as it seemed in the night?  )  Have you got a dream in ya heart?   ( When you're fighting for your life )  hold on  ( Lotta strife )  ooh yeah  ( Don't give up, when things gettin' tough )   ( The city is a jungle and the strong survive )  Gotta be strong, keep holding on  ( Keep on, holding on )  keep strong  ( Keep pushing, on and on )  you're alive  ( Keep on, holding on )  You're alive. . .  No dream impossible No dream impossible As long as you're livin' with hope in your heart  ( You've got to have hope in your heart )  In dreams we're untouchable  ( In dreams we're untouchable )  Forever invincible If you believe with love in your heart There's no dream impossible  ( Keep on, holding on )   ( Keep pushing, on and on )  There's no dream impossible "
"472","17","Slovenia","Nuša Derenda","""Energy""","English","7","70",2001,"  Energy Oh, what you do to me Your rhythm runs right through me You're my destiny My whole life is one big fantasy And yet the closer that I get, you're further away Energy I feel such energy Electric runs right through me I'm in ecstasy Your caress, the sweetness on your lips But the closer that I get, you're drifting away With every heartbeat, I'm electrified With just one look Your body moves me, moves me If for one second you'd remember me Then I would break free From these chains that are wrapped around me Energy I feel such energy Your rhythm runs right through me I'm in ecstasy Your caress, the sweetness on your lips But the closer that I get, you're drifting away Oh, energy I feel such energy Electric runs right through me You're my destiny, oh. . .  My whole life is one big fantasy, oh. . .  And all I am means nothing till you're here with me Energy "
"473","18","Poland","Piasek","""2 Long""","English","20","11",2001,"   ( How long will I wait for you?  )   ( How long will you wait for me?  )  If you don't get too close, you won't see the joke Maybe everything looks so cool, maybe I'm just foolin' When I'm almost out the door, you're still smilin' so Hey, I am thinking just the same, better if you think again I've been a faker, yeah, someone who didn't care And I would never want to be with someone like me But maybe one more night could make us feel all right What difference does it make?  Tell me  ( How long will I wait for you?  )  Too long for you  ( How long will you wait for me?  )  Oh. . .  too long for me  ( How long is too long, yeah?  )  Too long, yeah We've been wastin' so much time Life's too short – it would be a crime So who's behind the mask?  Oh. . .  you don't have to ask I'll tell you all there is about me, my cards are on the table And I have really learnt to hide these feelings deep inside I know the honesty within is nothing when you're cryin' I've been a faker, yeah, someone who didn't care And I would never want to be with someone like me  ( Be with someone like me )  But maybe one more night could make us feel all right What difference does it make?  Tell me  ( How long will I wait for you?  )  Too long for you  ( How long will you wait for me?  )  Oh. . .  too long for me  ( How long is too long, yeah?  )  Too long, yeah We've been wastin' so much time Life's too short – it would be a crime  ( How long will I wait for you?  )   ( How long will you wait for me?  )   ( How long will I wait for you?  )  Too long for you  ( How long will you wait for me?  )  Oh yeah, too long for me  ( How long is too long, yeah?  )  Too long, yeah We've been wastin' so much time Life's too short, it would be a crime "
"474","19","Germany","Michelle","""Wer Liebe lebt""","German, English","8","66",2001,"  Sommersonnenschein, der in dein Zimmer fällt Hell und warm, dich umarmt Und der Schattenblick, der deine Tage trübt Wird auf einmal wieder klar Feuer wird aus Eis, wenn dich ihr Zauber leise berührt Und ein grauer Tag strahlt mit einem Mal Und du hörst die Melodie voll Gefühl und voll Poesie Wer Liebe lebt, wird unsterblich sein Wer Liebe lebt, ist niemals allein Such sie an jedem neuen Tag Mal lächelt sie dich an Und wird ein Leben lang nah dir stehen Mmm. . .  mal liegt das ganze Glück in einem Augenblick Und du suchst die Melodie voll Gefühl und voll Poesie To live for love means you'll never die To live for love for all of your life You'll see forever's here to stay You'll see forever's here to stay Forever's here to stay "
"475","20","Estonia","Tanel Padar, Dave Benton & 2XL","""Everybody""","English","1","198",2001,"  All right - Hey hey. . .  Well, are you ready?  - You bet But are you ready?  - Oh yeah All right - You give it to them now Well, every night's a Friday night - Aha. . .  what night?  Ladies, this sure feels right - I guess this is party time The two of us will sing again - Two of us together again The heart is young and we know when - Young and handsome, they say Come on, Dave To kick the sadness out the door - To kick the sadness out the door And roll the carpet from the floor - Haha. . .  carpet from the floor, yeah Let the spirit hit the roof - I hit the roof, I hit the roof The two of us still know the moves And not even time can take away The starlight from us, no, it won't fade Still we believe that we were made to laugh and sing Come on, everybody, let's sing along And feel the power of a song Come on, everybody, let's feel the spark That always stays within our hearts Come on, everybody, and let it out And live the moment, here and now Come on, everybody, 'cause here's a chance To feel so light, to laugh and dance A little rollercoaster ride - He's goin' for a ride now Right into the starry night - Around and around and around we go And leave the windows open wide - Why nobody can't stay?  And let the music pour inside - Aha. . .  Not even time can take away The starlight from us, no, it won't fade Still we believe that we were made to laugh and sing Come on, everybody, let's sing along And feel the power of a song Come on, everybody, let's feel the spark That always stays within our hearts Come on, everybody, and let it out And live the moment, here and now Come on, everybody, 'cause here's a chance To feel so light, to laugh and dance Look at us now here together again We started out long time ago - We knew back then The music within us could never, could never end All right Oh yeah. . .  - Let's sing along Y'all come on - Come on, everybody Come on, come on - Na na na na yeah yeah. . .  Come on, come on - One more time, yeah Come on, everybody, let's sing along And feel the power of a song Come on, everybody, let's feel the spark That always stays within our hearts Come on, everybody, and let it out And live the moment, here and now Come on, everybody, 'cause here's a chance To feel so light, to laugh and dance Come on, everybody, let's sing along "
"476","21","Malta","Fabrizio Faniello","""Another Summer Night""","English","9","48",2001,"  The golden sand beneath my feet There's music in the air A guitar in my hand I'm sure you understand all this is magic No matter where the wind blows I'll always think of you Stay with me, young and free We'll live in perfect harmony Another summer night down by the ocean Under the palm trees, you and I Walking on the beach beneath the moonlight Just like a dream that never dies Never dies, never dies Blue skies all around us Feels like love is everywhere Just a smile and our eyes Will meet so we can feel the fire burning A taste of heaven's what I need Can never get enough Million stars, endless sky With each moment passing by Another summer night down by the ocean  ( By the ocean )  Under the palm trees, you and I  ( Just you and I )  Walking on the beach beneath the moonlight Just like a dream that never dies Never dies, never dies  ( Like a dream that never dies )  Another summer night down by the ocean  ( By the ocean )  Under the palm trees, you and I  ( You and I )  Walking on the beach beneath the moonlight Just like a dream that never dies Never dies  ( Another summer night down by the ocean )   ( Just by the ocean )   ( Under the palm trees, you and I )  Never dies  ( Walking on the beach beneath the moonlight )   ( Just like a dream that never dies )  Another summer night "
